      altura       peso  sexo
0   1.788811  65.648102     0
1   1.566784  76.642768     0
2   2.092193  55.468185     1
3   1.782471  67.281997     1
4   1.735767  69.289008     0
5   1.686975  56.840051     0
6   1.797105  65.208973     1
7   1.187349  48.164764     0
8   1.595891  45.410648     1
9   1.396282  67.930113     0
10  1.606148  67.719604     0
11  1.707590  45.609333     0
12  1.735513  64.845452     0
13  1.672055  39.705952     1
14  1.723377  50.058880     1
15  1.684574  56.545087     1
16  1.733259  37.512188     0
17  1.757900  57.362422     0
18  1.913338  69.307246     1
19  1.456048  69.342337     0
