# altura,peso,sexo,imc,classificacao
1.788811,65.648102,0.0,20.516026942563006,Peso ideal
1.566784,76.642768,0.0,31.221439684559105,Obesidade Grau I
2.092193,55.468185,1.0,12.671862911844382,Baixo peso Grau III
1.782471,67.281997,1.0,21.176487571306087,Peso ideal
1.735767,69.289008,0.0,22.9975456097574,Peso ideal
1.686975,56.840051,0.0,19.972717793575036,Peso ideal
1.797105,65.208973,1.0,20.191122114932906,Peso ideal
1.187349,48.164764,0.0,34.16431008742802,Obesidade Grau I
1.595891,45.410648,1.0,17.829996098895624,Baixo peso Grau I
1.396282,67.930113,0.0,34.84304150287812,Obesidade Grau I
1.606148,67.719604,0.0,26.250844980187235,Sobrepeso
1.70759,45.609333,0.0,15.641792322967879,Baixo peso Grau III
1.735513,64.845452,0.0,21.52899612253168,Peso ideal
1.672055,39.705952,1.0,14.202163088357656,Baixo peso Grau III
1.723377,50.05888,1.0,16.854681239064504,Baixo peso Grau II
1.684574,56.545087,1.0,19.925750579824385,Peso ideal
1.733259,37.512188,0.0,12.486636478786007,Baixo peso Grau III
1.7579,57.362422,0.0,18.56261460033422,Peso ideal
1.913338,69.307246,1.0,18.931945612244615,Peso ideal
1.456048,69.342337,0.0,32.707480416323556,Obesidade Grau I
